series_id,book_id
3614,23757205
3624,905
3629,17130362
3645,989097
3656,99177
3674,6172169
3707,13595811
3708,3394
3710,22012290
3726,990165
3730,28462198
3732,18310407
3748,704584
3763,50181
3779,3007030
3784,278198
3790,935055
3805,9368029
3812,1304584
2514,10929478
3822,11448751
3825,415699
1064,951061
3842,1300866
3843,7967299
2602,7182626
3892,12467867
655,10433006
3898,7962457
3907,6398924
3936,4082807
641,359848
1410,9676707
2814,12213062
2712,18042652
6376,23201208
4072,17265217
4074,6740252
2538,13549694
9274,22449285
4088,7312149
4095,13584313
4102,401912
727,5660074
377,19101293
4179,20945941
444,28087
4194,3340980
4203,26247053
8,12918218
4216,1913364
4236,1218077
4241,23549
4252,3430774
4258,218463
4268,102736
1064,2857200
4284,1838719
4289,13403151
23,13538641
4308,186443
4309,11062291
4318,13595311
78,31799
4322,8983685
4349,17280880
2696,10389150
4358,1676414
4364,4845
4367,939467
4375,184825
4389,16103347
4393,18910
4400,16003843
4405,11572026
4416,6238944
2868,6467362
2509,763362
4427,10156954
490,653043
2712,17978278
1175,25118397
641,9579882
4482,338234
4504,1454374
4519,13394791
977,22740195
1724,22446624
3650,32855718
3205,13258964
4547,213349
4548,27984883
4555,15826934
4560,34726469
23,34568988
4569,17981399
4581,18658342
4587,51781351
4593,17557711
4610,58576
4613,555136
444,129956
4252,6621215
4664,1838612
4669,5479405
4672,4838255
4678,1062516
490,8664
2538,12796583
4696,9874973
2239,233664
692,97006
4741,18281513
655,6293922
4753,112247
3790,871761
4799,6806633
3126,2578867
2067,101571
2351,21965351
2868,6467360
4839,11301
4848,5715698
1369,16006282
2591,47586
2712,18042658
4874,23669798
4894,20795069
4907,23346643
4920,33628259
490,15710197
6096,33857557
4925,15726202
4955,33393754
4548,35214054
4970,6668056
60,16306
4978,231532
4999,18775623
1616,6609490
4241,247979
3126,175504
5048,10762478
5051,492461
5052,7907267
5067,13027304
2538,13549707
1064,1070551
5068,13556706
3708,873890
605,443774
5105,420297
5107,2622893
5108,945144
1382,11186443
1037,15793052
5154,6115321
968,96128
490,8936442
5171,20860778
2712,18113200
3365,1587362
655,6149437
3710,23277298
5202,7931350
5203,11640615
5209,820273
6096,34731534
727,6561620
4548,35237033
1625,15832002
517,123969
5300,128881
5302,17876863
5309,486175
2131,199929
5344,6313970
1064,3098445
5349,8125716
5371,651132
5378,15767282
5404,3133562
1037,15793051
2067,21796912
5432,10426868
23,17286958
5443,6293883
769,20808606
2712,18370024
5493,3892210
3710,29749107
4741,13828409
5513,5491797
5514,287737
5523,9565639
5529,19535135
5537,16093810
5551,3084002
5556,16411948
3210,40181531
2413,102534
5565,1522679
5048,7663384
4252,6621214
3348,405552
5577,299085
670,9916282
1064,156990
5596,139373
5344,1775733
3176,588625
1064,7061696
6096,10627210
5378,15982604
1037,12220082
5659,5956547
5669,9846485
4569,12972637
2712,19308365
5713,4026382
5739,1142145
5740,14885892
5770,173129
4577,36640079
874,875643
5791,5985337
5804,204097
3708,828393
2538,13549704
4741,12558094
1037,7030007
1382,59963
5904,18870458
1137,22180659
3892,12467865
2712,53199559
5917,1070245
5928,6774007
2547,1697732
5970,590552
5977,826344
5979,36274082
3730,28167132
874,460069
5992,3735283
670,1190034
6009,5368029
6010,1237630
6014,250324
2538,13088860
6017,422402
5336,12286310
1062,4574883
6031,57787
6036,16244392
6039,4776156
6045,9475197
3446,6764230
490,16135705
6079,901282
2712,23296724
6119,41360
6120,5567195
641,13573427
1366,32708664
5979,24479834
6157,50084254
