book_id,publisher_id
747746,19822
19528,19670
129117,19823
2182,19688
68333,19824
54589,19825
236814,19826
842746,19827
19476,19789
7780,19797
18249280,19828
109830,19700
9888794,19829
355656,19688
22192,19808
6321718,19830
667416,19831
233044,19832
355789,19833
42960,19834
9027853,19835
10551253,19789
4789801,19836
289813,19837
104344,19838
34272565,19839
24384,19796
38225791,19750
4907301,19840
91953,19717
24903919,19687
366787,19717
179612,19841
774032,19842
25669,19843
71622,19724
7897478,19718
45241,19844
7312324,19845
389828,19846
10897866,19847
13020,19848
1049509,19849
72676,19850
187811,19679
6251471,19851
830784,19727
4364,19700
15046,19852
2002,19853
9394010,19854
1931915,19855
24804,19669
10402992,19856
2141,19857
634757,19858
18044158,19859
32758901,19860
48760,19861
74046,19797
3630983,19856
228534,19820
1022209,19862
140260,19863
114172,19722
2592122,19864
844935,19766
6503154,19722
232268,19705
6687247,19865
10048874,19792
27397,19700
179174,19802
53645,19866
16064853,19736
367802,19670
9462637,19714
110393,19867
188454,19810
427920,19868
231560,19869
105574,19722
3416,19722
32703,19870
10799807,19871
9554790,19872
572692,19873
146943,19810
6100797,19679
61898,19824
6777616,19750
78972,19874
25128811,19875
762563,19876
80672,19877
47922,19878
22189,19808
313263,19717
159760,19754
104627,19879
22875451,19724
61115,19880
2420340,19881
3216451,19724
6090807,19727
17305783,19882
11277218,19883
13316328,19770
146108,19884
13642963,19750
15799936,19885
7101,19886
73070,19887
292275,19888
228128,19889
343738,19890
92846,19891
13516487,19892
10283764,19893
170548,19870
74862,19894
35519101,19860
7103,19886
22191,19808
14707,19895
162314,19715
43684,19824
47730,19688
9553,19682
104790,19762
438923,19896
2606779,19897
9667658,19898
590324,19899
31324,19900
936611,19901
256280,19902
518982,19903
950143,19683
6514074,19685
54028,19904
36253,19905
2330877,19906
9527985,19847
19596,19744
6586456,19907
35465,19792
43545,19838
8241088,19908
96428,19777
3321397,19909
560929,19910
354284,19911
344199,19805
59821,19682
6219294,19912
128109,19762
761849,19913
4333469,19863
1199174,19914
42929,19737
564325,19915
7284118,19822
9260806,19916
8466327,19917
257962,19669
854456,19841
39704178,19749
5936327,19918
7380006,19919
62812,19920
8999892,19921
16071187,19922
3127326,19923
7057397,19924
11175530,19925
14288932,19926
24483265,19927
62976,19928
12072969,19929
5805956,19930
9766063,19931
12889647,19932
960495,19933
6131767,19934
8602864,19935
17157183,19936
13497142,19800
13616989,19937
17397495,19938
9637428,19939
13504041,19940
15706108,19941
13248799,19942
1413068,19943
17155673,19944
15826651,19945
15719561,19946
16520900,19947
17210533,19948
786699,19798
28768,19949
1442235,19950
13498352,19951
13144813,19952
17406952,19953
549237,19954
17339738,19955
17949078,19956
3263334,19957
18008226,19958
17354744,19959
18158535,19960
17334077,19791
7013431,19961
18229453,19847
18193486,19962
18171014,19963
1212610,19669
17296121,19964
18397548,19757
18136883,19965
29661618,19966
166562,19967
18620524,19968
10014677,19969
13645896,19970
18086498,19971
1062356,19972
18813386,19973
12914448,19974
18602977,19959
17586834,19789
18042290,19975
15725485,19801
43212281,19976
21936661,19977
21878763,19978
17158596,19979
21795442,19980
18530194,19981
1414,19982
22616552,19983
22008448,19984
23277468,19985
22918893,19986
22456474,19673
27816584,19987
7093222,19988
17466895,19989
1322303,19785
741481,19990
22884757,19991
362824,19679
19048521,19992
1071726,19993
22436841,19994
23681340,19995
20335752,19996
24545715,19997
25022297,19998
25319777,19999
25621823,20000
3831344,20001
25697968,20002
25878671,20003
25855637,20004
25339089,20005
3986964,20006
27268403,20007
28175937,20008
2484198,20009
17493,20010
28430735,20011
232467,20012
29388297,20013
29897456,19959
34182067,19959
18405537,19701
36390016,20014
32594382,20015
31447045,20016
1032,19669
34866611,20017
9698540,20018
32560066,20019
35038210,19959
37562415,20020
41815475,20021
40832734,20022
43175143,20023
44590965,20024
8225859,20025
29753206,20026
44076511,20027
45422326,20028
1934,20029
48678296,20030
115929,20031
2218102,20032
10086681,20033
49240716,20034
50391716,20035
13760,20036
331260,20037
116567,20038
44516,19717
3359011,20039
379160,19850
6192376,20040
3726872,19829
6420578,20041
2432061,20042
284338,20043
24816,19885
6771774,20044
6771730,20045
620790,19737
24611735,20046
108314,20047
7052308,20048
7532858,20049
765983,20050
1906946,20051
89838,19798
779511,20052
192954,19993
128518,19680
807002,19850
6235136,20053
10128608,20054
106588,20055
11203057,19800
77844,19700
936610,19901
199531,19669
21485,19774
10169662,19740
393601,19762
6972157,20056
369439,19714
9537041,19959
16099180,19797
6275767,19669
5927595,20057
590323,20058
274868,19668
127953,20059
26474,19700
14413557,20041
12878300,20060
16189172,20061
16067631,20062
101862,20063
13421433,20064
12555756,20065
1481578,19774
43327287,20002
17611261,20066
16164966,20067
15757694,20068
9768204,19959
9768203,19959
15821931,20069
28958920,20070
13152194,19700
19078625,20071
13420145,20072
18713134,19673
13162223,20073
94351,20074
2848807,20075
9786641,19668
12617286,20076
693447,19864
21899705,20077
56636,19656
18684615,20078
21816542,20079
11324334,20080
747061,20081
90574,19713
6046158,20082
22202,20083
9266794,20084
25012645,20085
23016659,20086
7664041,20087
13605258,20088
17185584,20089
18456078,20090
40605223,20091
31815310,19847
12970162,20092
25311873,19661
56961,20093
29762106,20094
36295291,20095
15818357,19824
28510777,19687
43468726,20096
38467635,20097
33116557,20098
42113688,19673
42870267,20099
43599898,20100
43790688,20101
7511615,20102
29567621,20103
35425827,19696
62794,20104
33310533,20105
51897150,20022
27845690,20106
51983178,20022
6390031,19966
49697722,20107
43708884,20108
13573419,19792
307962,20109
445126,19828
189182,20110
196766,19774
1967633,20111
143226,20112
15781,19714
14285,19700
13065327,20113
1192521,20114
3741180,20115
50781,20116
7023148,19668
165856,20117
202650,20118
9924320,20119
3073174,19747
367802,19798
43713,20120
596986,19993
192955,19669
1118874,19724
11680603,20121
5820384,20122
150002,20123
11903141,20124
8161632,20125
362002,20126
12690450,20127
27297,20128
484143,19881
1205297,20129
14404,19671
18999,20130
44780,19904
13062235,20131
12351695,20132
13551716,20133
14624906,20134
16192492,20135
3426706,20136
9475932,19668
11714997,19976
6344897,20137
866136,19792
567610,20138
15734418,20139
37845319,19922
9242236,20140
2498049,20141
13517470,20142
16246625,20143
424760,20144
17118326,20145
7812107,19922
555987,19750
2725,20146
355034,19688
12180248,20147
65684,20148
4303567,19816
17281601,20149
12262889,20150
78159,20151
16290291,19959
15768119,20152
5985016,20153
18365529,20127
