id,cover_link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
475965,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1365031913l/475965.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7129468,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1339205434l/7129468.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891296,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1189873266l/1891296._SY475_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294042,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1305960795l/294042.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6556261,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327591370l/6556261.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8685644,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1312074996l/8685644.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15549,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388198012l/15549.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10414941,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1403395276l/10414941.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10065348,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325660465l/10065348.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11242368,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1325659078l/11242368.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19286623,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396467599l/19286623.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100629,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320558690l/100629.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28978,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1396452714l/28978.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7943678,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327400833l/7943678.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167302,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1311648314l/167302.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311308,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386920835l/311308.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16356,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1476892657l/16356._SY475_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82553,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1390021601l/82553.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16130758,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1418523881l/16130758.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13425352,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1330620209l/13425352.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922119,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347663541l/922119.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5350,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388235158l/5350.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294285,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348070533l/294285.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22852698,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1415906270l/22852698.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457762,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328018633l/457762.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618924,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1389919039l/618924.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13151,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1439049145l/13151._SY475_.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388194999l/402.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104216,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348654063l/104216.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244475,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388183109l/244475.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7893,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1269186181l/7893.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
878307,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327959577l/878307.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12447,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388332784l/12447.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85993,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1266468983l/85993.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226425,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348218290l/226425.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3942622,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388260965l/3942622.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47241,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1326314596l/47241.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339026,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388443430l/339026.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
