author_id,book_id
37860,57901
42372,634407
36867,102142
40066,1720099
39794,2781816
39093,76758
39208,6313326
37988,394228
48557,6289558
36878,123106
46617,3788
38809,73932
43018,324748
38427,605015
41291,10810038
43589,647579
41926,300044
41681,1207980
37993,10720733
40742,104069
48599,6853895
36967,10801027
44430,6495228
37386,161788
36601,7031834
37361,6060130
37434,622855
38140,7224154
39273,1835150
41889,70884
37463,12989115
38045,5148758
46126,111388
37227,12722
42184,6987527
37860,46969
42773,13222508
41567,11717826
36862,6559316
45337,15757099
42077,8441754
47572,17206996
37796,10331050
41090,676
37744,36613718
38726,16090271
43753,18124599
43753,17140887
45649,18362208
38827,17453516
38713,6348484
39007,13059477
36916,17349023
43069,25419982
42313,12987986
38452,33230173
46751,13608643
36475,16401102
45758,23783832
41851,23650217
45758,25506341
40290,22044543
36732,22698031
42187,23434061
36725,26309016
43753,17783163
42280,24849422
37949,21981841
44408,31202835
36479,15704486
46334,17703205
37751,25036395
46453,34324484
44916,40227501
45021,36584899
43310,25903764
42538,65399
38726,2932708
42771,295685
37348,68530
37852,6076107
37702,169651
39804,4418237
37384,418209
37914,384962
36832,59817
39956,7778609
38437,121792
37231,8100267
39943,9722219
36578,133775
38229,179734
37637,7789774
42727,449
37278,54076
39021,3241366
46720,618520
43471,291583
48010,244357
39889,195155
41927,2623267
43332,146107
39505,16157776
39930,16280717
40080,6164596
39505,17181677
37806,17133068
42386,11889938
38726,6577337
38508,833312
39459,275600
38391,15773979
40613,36434
41674,42435
42570,18388177
47434,133238
39862,6203048
36674,12578370
43224,9373152
36861,11970747
41964,41538
37494,76688
37321,23353850
42611,23345583
42103,289029
46323,23494599
38053,8542839
38211,18077752
38211,18077769
36697,17278396
38104,20890479
38868,8493681
39814,28483931
41705,25816447
37388,45694
41390,859887
39221,18102827
37115,23203744
36542,20640467
37082,3453791
37752,17679368
37059,13343752
37210,29991719
46783,1542100
38005,11979900
37182,23492533
39336,647492
37937,30256105
47427,89231
46104,42141
38651,30223025
37222,2590136
40721,1286453
36690,29589074
39198,11852497
39198,9959373
36601,38216157
37740,88071
38478,12540
38963,669305
38785,9298
38793,248533
37874,15450
36556,458450
36593,28920
48571,6855506
38909,33820
41257,65053
36479,3485562
36479,6366110
46592,826564
38154,7320458
39041,47905
39304,461627
38152,9872091
43332,146128
37727,61901
37126,821964
41926,300045
38241,18068693
38153,71864
37229,143511
42272,12143472
38629,13562547
36933,4732517
46126,196417
39404,507069
39930,15307498
36628,8563829
46302,13324895
38170,15762657
41516,1369831
36958,2414750
44846,20653878
40245,577184
41835,22555753
37439,13062488
37962,140099
36938,10822395
40145,22089601
36475,36279579
43978,337537
38190,16160701
38124,16217670
47624,27259009
36807,22717015
40290,18760264
43434,248322
42374,18509683
39482,1617191
41025,3933510
39578,18392459
36892,36373647
38044,23002501
39041,27139794
42122,139724
40395,27912522
38265,30095464
36670,33573674
42377,31139037
40934,38456737
40934,34513573
36690,39893545
37985,34390820
39215,22571629
42978,905092
36908,25852870
42603,3060904
38297,122126
38200,337132
37353,77431
48457,523151
41498,7531
38302,142442
37048,18392
44214,85855
44214,3474905
37822,13996
41328,307079
39782,613268
37377,54804
40567,5586327
38712,5943093
37651,98218
45844,1002539
