award_id,book_id
355,15773979
356,42435
357,62535
358,41538
359,76688
360,182587
361,23494599
362,18505844
363,20890479
364,859887
365,20640467
366,3453791
367,22819788
368,1542100
369,25330544
370,647492
371,10433091
372,89231
373,42141
374,23019294
375,36840397
376,30223025
377,2590136
378,1286453
379,29589074
380,88071
381,28920
382,65053
383,454950
384,3280113
385,826564
386,61901
387,39799
388,71864
389,15916
390,263466
391,10673576
392,3282557
393,13664
394,11700333
395,15762657
396,1369831
397,577184
398,18144009
399,22374443
400,312881
401,748164
402,22717015
403,18509683
404,13512946
405,20736640
406,31139037
407,34513573
84,39893545
408,34390820
409,22571629
410,16131032
411,7493186
412,25852870
413,122126
414,337132
415,6216433
416,508098
417,6764787
418,5586327
419,86524
420,1002539
421,97408
422,2114086
423,207802
424,684509
425,9327053
426,9674335
427,7202841
428,6120349
429,8213686
430,1804074
431,15808474
432,10000191
433,6931246
434,17643
435,8163722
436,18298890
437,508988
438,67938
439,715995
440,23012877
441,17262366
442,20702025
443,9783200
444,25526965
445,33099588
446,33643994
447,22283878
286,28374062
448,25756328
449,32601841
450,17838528
451,1652357
452,25877663
453,50843
454,96334
455,15803037
456,40271
457,7686654
458,153612
459,144006
460,824204
461,28256439
462,103525
463,6681523
464,106125
465,11290708
466,19577
467,987756
468,156784
469,12648447
470,20943489
471,6763730
472,1408083
473,11587338
474,11288619
475,12392681
476,157551
106,22716194
477,1320279
478,313277
479,27411345
480,41945163
481,349681
482,294817
483,8529230
484,6788533
485,28815371
486,353342
487,347698
488,288962
489,1797166
490,213206
491,7507920
492,14686
493,698
494,34605
495,13540215
496,18080500
497,343662
109,7743117
498,8050771
499,16074748
500,18635113
501,20613624
502,41818
503,32324555
504,1961314
505,34037113
506,37683751
507,30025336
508,35820633
509,26842622
510,26030734
511,18743370
512,348632
513,833060
514,135158
515,5841908
516,176755
517,268437
518,123557
519,5711749
520,1975322
521,657371
522,7389741
523,3235139
524,715428
525,2185736
526,6556855
527,12759057
528,8526694
529,4881647
530,613866
531,7940589
532,5762055
315,6066819
533,240162
534,11333934
535,91487
536,149049
537,17566144
538,17448137
539,18263725
425,8725909
540,9962040
541,7776251
542,5055737
543,3401640
544,1061557
545,9646927
546,2741766
547,25793186
548,18667945
549,28220826
550,167040
551,29467232
552,770614
553,29567
554,601390
555,6670514
556,606250
557,5598819
558,16982
559,768950
560,3818665
561,2138127
562,6327239
563,14504
564,15773951
565,62805
566,644009
567,3609537
568,7148256
569,6760780
570,1238684
571,10537195
396,256003
572,323172
573,826852
574,149418
575,1561628
576,1111741
577,15757486
578,1146743
579,6900824
580,17210598
581,23512999
582,13083008
583,19256975
584,937106
585,36047860
586,60030
587,17402288
588,24612118
589,1525997
590,22195
591,210250
592,359581
593,363499
594,348823
595,63742
596,492069
597,9893331
598,4504870
599,11781
600,4703427
601,539904
602,12889342
603,112525
604,484670
605,12160934
606,13056868
607,15805442
608,6440051
609,5982447
610,6047138
611,19165476
612,766917
613,10535458
614,22692740
615,13642704
616,23202
617,41014989
618,15161
619,967294
620,44014779
621,56627
622,6764886
623,2696181
624,52373
625,42505366
626,7306310
627,6290240
628,766955
629,969566
630,35350
631,181440
632,1829655
633,209693
521,6249550
634,545981
576,8541234
635,73574
59,2065091
636,6589111
637,5168689
638,299758
639,6839917
640,4135863
641,6760793
642,10965813
643,270872
644,1162185
645,16101121
646,1559509
321,13413589
647,10314376
648,17852690
649,373593
650,17399338
651,41160292
652,35960060
653,4318
654,190999
655,96123
656,997897
657,77398
658,867162
659,537107
660,454095
661,94673
662,90334
663,1470232
143,9166559
664,9794942
665,10221138
666,13115556
667,13223523
668,13506310
669,171201
670,11550
671,157387
672,8437667
673,670906
674,6609764
675,18103807
676,26008840
677,736392
678,17287069
679,34594982
680,36199084
681,24985
682,40450
683,170171
684,208324
685,7081
686,874419
687,8483233
688,5136
689,45000
690,4682558
691,1157924
692,761023
693,309780
694,17978489
695,13187824
696,18889246
697,20613761
698,22574709
699,31842429
84,43220998
700,402456
701,46277
702,196714
703,5711714
704,7280026
705,6698199
706,6747545
707,208909
708,1292495
709,802151
710,111126
711,7311907
313,13513092
712,169354
713,780889
33,13091829
714,12088102
715,23261332
716,17383934
717,12969593
718,22882816
719,13409664
720,23129923
721,23209924
722,21251323
723,27834600
724,28600081
725,23310699
508,30809786
726,25893709
727,29358517
728,191113
729,58854
730,5187
731,6287072
732,5957313
733,6782412
734,201111
735,10814693
736,7737902
737,13112023
738,91989
739,9403947
738,14069
740,11653
741,452177
742,1487623
743,387348
474,14781201
744,25387393
745,69681
746,33621427
747,837812
748,25740412
749,537124
750,59503
751,239830
752,75643
753,655601
754,1035847
755,69935
756,874413
757,708549
758,95144
759,174329
760,12408149
761,13037
762,646195
763,13359067
764,26348
765,15981711
766,6201
767,823810
768,7882217
769,26114291
450,24529123
770,8765
84,35380157
771,2136
772,3686
773,214091
774,428287
775,436609
776,1270615
149,11337189
777,15544715
778,7737900
779,18505832
780,18400770
781,70277
782,17349153
211,18668059
783,25330489
784,20525628
785,30613790
786,4885470
787,1424766
788,1699498
789,59
790,477990
791,71784
792,49838
793,10329434
794,8527904
795,708694
796,216213
797,1239698
