book_id,award_id
43521352,10743
11284,10744
109326,10745
15682,10746
137446,10747
3250465,10748
541920,10749
89716,10750
105999,10751
7696504,10752
765811,10753
11402993,10754
5659537,10755
895886,10756
6371720,10757
384579,10758
3993839,10759
6318413,10760
1056079,10761
27550,10762
25193,10763
18487180,10764
18310201,10765
30843,10766
293602,10767
18188319,10768
43691,10769
6276276,10770
21853636,10771
10187223,10772
129877,10773
20649195,10774
2161966,10775
23533039,10776
24382227,10777
26245853,10778
13630171,10779
25334576,10780
34684622,10781
19523454,10782
50196744,10783
41081373,10784
43521657,10785
25810500,10786
31952703,10787
262545,10788
303073,10789
26482,10790
281152,10791
74462,10792
13645645,10793
76758,10794
17977710,10795
50804,10796
1099648,10797
6578507,10798
838668,10799
108980,10800
7824997,10801
10801027,10802
9068791,10803
16169537,10725
9471730,10804
13448374,10805
1835150,10806
5148758,10807
2437710,10808
6184241,10809
6559316,10810
8721183,10811
13171072,10812
10331050,10813
17349023,10814
12987986,10815
8035987,10816
563362,10817
18218630,10818
13455542,10819
35187179,10820
123667,10821
26252659,10822
31202835,10823
15704486,10824
33375622,10825
25036395,10826
35068592,10827
34324484,10828
374188,10829
169651,10830
6177371,10831
4418237,10832
56083,10833
8100267,10834
13318534,10835
133775,10836
179734,10837
491578,10838
1142757,10839
291583,10840
7187640,10841
2623267,10842
21849362,10843
13543594,10844
275600,10845
1105956,10846
15773979,10847
42435,10848
62535,10849
41538,10850
76688,10851
182587,10852
23494599,10853
18505844,10854
20890479,10855
859887,10856
17858077,10857
3453791,10858
688972,10859
1542100,10860
25330544,10861
647492,10862
10433091,10863
89231,10864
42141,10865
23019294,10866
36840397,10867
30223025,10868
2590136,10869
1286453,10870
29589074,10871
88071,10872
28920,10873
65053,10874
454950,10875
3280113,10876
826564,10877
61901,10878
39799,10879
11512688,10880
15916,10881
263466,10882
10673576,10883
3282557,10884
13664,10885
11700333,10886
15762657,10887
1369831,10888
577184,10889
18144009,10890
22374443,10891
312881,10892
748164,10893
7930335,10894
18509683,10895
13512946,10896
20736640,10897
31139037,10898
34513573,10899
39893545,10576
34390820,10900
22571629,10901
16131032,10902
169004,10903
25852870,10904
122126,10905
337132,10906
6216433,10907
1395807,10908
6764787,10909
5586327,10910
86524,10911
1002539,10912
28116714,10913
2114086,10914
207802,10915
684509,10916
9327053,10917
9674335,10918
7202841,10919
6120349,10920
8213686,10921
1804074,10922
15808474,10923
10000191,10924
6931246,10925
17643,10926
8163722,10927
18298890,10928
508988,10929
67938,10930
715995,10931
23012877,10932
17262366,10933
244100,10934
7123181,10935
25526965,10936
33099588,10937
33643994,10938
22283878,10939
28374062,10778
25756328,10940
32601841,10941
17838528,10942
1652357,10943
25877663,10944
50843,10945
96334,10946
15803037,10947
40271,10948
7686654,10949
153612,10950
144006,10951
824204,10952
28256439,10953
103525,10954
6681523,10955
106125,10956
11290708,10957
19577,10958
987756,10959
156784,10960
12648447,10961
20943489,10962
6763730,10963
1408083,10964
11587338,10965
11288619,10966
12392681,10967
157551,10968
22716194,10598
1320279,10969
313277,10970
13107661,10971
25448304,10972
349681,10973
13510645,10974
8529230,10975
6788533,10976
28815371,10977
353342,10978
347698,10979
288962,10980
1797166,10981
213206,10982
7507920,10983
14686,10984
698,10985
34605,10986
13540215,10987
18080500,10988
6929380,10989
7743117,10601
8050771,10990
16074748,10991
