book_id,author_id
29776603,22192
13505635,24139
9395215,14220
27272505,12265
440638,23913
548370,16997
23466036,22577
11547633,23837
3170458,13181
34091026,21938
724666,13182
432020,15183
945882,12370
18528548,15278
11284,12527
109326,15152
28660,21397
77789,16909
882053,13299
3250465,16861
541920,16384
763489,19697
112080,12965
34303,13579
2350129,13539
66692,13563
338131,12502
381364,21333
6397351,12919
36193,15482
362888,23748
6941324,13715
7871086,12308
7696504,13056
765811,12826
2972472,12545
781132,13925
12864154,14519
5659537,12482
384579,17242
6419,12287
3993839,14794
8951449,12456
6318413,16876
89884,18361
1056079,23983
13524900,13712
18935386,17197
311196,14217
527495,21310
27817191,24146
73906,14497
2459677,12623
5557442,14386
15724908,15884
5082616,18226
18487180,12211
18104749,12932
18129599,17663
16070521,20719
18664167,12362
18310201,15628
16122643,13573
30843,14859
18858489,23945
22847427,14309
18105451,12456
14975,13650
18188319,17017
13608133,15642
43691,14147
6276276,19157
44323,12792
15843041,18706
747558,12452
21853636,12453
10187223,19140
20649195,15244
22046891,12514
6344832,12562
3598830,13167
23533039,13905
24382227,15231
18674889,13200
26245853,14605
77040,15708
13630171,13570
46038451,16083
34684622,14637
43191440,14239
19523454,12584
32618967,14859
25810500,17810
153418,16938
303073,13088
26482,14966
57901,13548
634407,18060
102142,12555
13645645,15754
84079,15482
76758,14781
6313326,14896
394228,13676
6289558,24245
17977710,12566
348537,22305
73932,14497
324748,18706
605015,14115
10810038,16979
647579,19277
300044,17614
1207980,17369
24048,13681
104069,16430
6853895,24287
10801027,12655
6495228,20118
161788,13074
7031834,12289
16169537,13049
622855,13122
7224154,13828
1835150,14961
70884,17577
11499,13151
5148758,13733
111388,21814
12722,12915
6987527,17872
46969,13548
13222508,18461
11717826,17255
6559316,12550
15757099,21025
8441754,17765
17206996,23260
10331050,13484
676,16778
36613718,13432
16090271,14414
18124599,19441
17140887,19441
60471,21337
17453516,14515
6348484,14401
13059477,14695
17349023,12604
25419982,18757
12987986,18001
33230173,14140
13608643,22439
16401102,12163
6389704,21446
23650217,17539
11786581,21446
22044543,15978
22698031,12420
23434061,17875
26309016,12413
17783163,19441
24849422,17968
21981841,13637
31202835,20096
15704486,12167
17703205,22022
25036395,13439
34324484,22141
40227501,20604
36584899,20709
374188,18998
65399,18226
2932708,14414
295685,18459
68530,13036
6076107,13540
169651,13390
4418237,15492
418209,13072
384962,13602
59817,12520
7778609,15644
121792,14125
8100267,12919
13318534,15631
133775,12266
179734,13917
7789774,13325
449,18415
54076,12966
3241366,14709
618520,22408
291583,19159
244357,23698
195155,15577
2623267,17615
146107,19020
16157776,15193
16280717,15618
6164596,15768
17181677,15193
17133068,13494
13543594,18074
6577337,14414
833312,14196
275600,15147
15773979,14079
36434,16301
42435,17362
18388177,18258
133238,23122
6203048,15550
12578370,12362
9373152,18912
11970747,12549
41538,17652
76688,13182
23353850,13009
23345583,18299
289029,17791
23494599,22011
8542839,13741
18077752,13899
18077769,13899
17278396,12385
20890479,13792
8493681,14556
28483931,15502
30343,17393
45694,13076
859887,17078
18102827,14909
23203744,12803
17858077,12230
3453791,12770
17679368,13440
6749,12747
29991719,12898
1542100,22471
11979900,13693
23492533,12870
647492,15024
30256105,13625
89231,23115
42141,21792
30223025,14339
2590136,12910
1286453,16409
29589074,12378
11852497,14886
9959373,14886
38216157,12289
88071,13428
12540,14166
669305,14651
9298,14473
248533,14481
15450,13562
458450,12244
28920,12281
6855506,24259
33820,14597
65053,16945
3485562,12167
6366110,12167
826564,22280
227454,13842
47905,14729
461627,14992
6696602,13840
146128,19020
61901,13415
821964,12814
13624367,17614
18068693,13929
11512688,13841
143511,12917
12143472,17960
13562547,14317
4732517,12621
196417,21814
507069,15092
15307498,15618
8563829,12316
39964740,21990
15762657,13858
1369831,17204
2414750,12646
20653878,20534
577184,15933
22555753,17523
13062488,13127
140099,13650
22005857,12626
22089601,15833
36279579,12163
337537,19666
16160701,13878
16217670,13812
27259009,23312
7930335,12495
18760264,15978
