book_id,listegenre,award
880,"Cultural-Italy, Fiction, Historical, Historical-Historical Fiction, Thriller",0
890,"Academic-School, Classics, Fiction, Historical-Historical Fiction, Literature",1
900,"Autobiography-Memoir, Biography, Nonfiction, Psychology, Relationships, Self Help",0
902,"Childrens, Childrens-Middle Grade, Classics, Fiction, Mystery, Young Adult",1
903,"Childrens, Childrens-Middle Grade, Fiction, Mystery, Young Adult",1
905,"Nonfiction, Psychology, Self Help, Sports-Sports",0
925,"Fiction, Mystery, Mystery-Crime, Thriller",1
929,"Adult, Classics, Contemporary, Cultural-Asia, Cultural-Japan, Fiction, Historical, Historical-Historical Fiction, Novels, Romance",0
960,"Fiction, Mystery, Suspense, Thriller",1
968,"Fiction, Mystery, Thriller",1
976,"Action, Adventure, Fiction, Mystery, Mystery-Crime, Novels, Science Fiction, Suspense, Thriller, Thriller-Mystery Thriller",0
998,"Audiobook, Business, Currency-Money, Economics, Economics-Finance, Finance-Personal Finance, Nonfiction, Psychology, Self Help, Self Help-Personal Development",1
1031,"Biography, Business, Economics-Finance, Nonfiction, Self Help",0
1032,"Biography, Business, Nonfiction, Politics",0
1035,"Business, Economics-Finance, Nonfiction, Self Help",0
1052,"Business, Classics, Currency-Money, Economics, Economics-Finance, Finance-Personal Finance, Nonfiction, Philosophy, Self Help, Self Help-Personal Development",0
1059,"Fiction, Mystery, Spy Thriller-Espionage, Thriller, Thriller-Mystery Thriller",0
1067,"Historical, History, Military History-American Revolution, Nonfiction, North American Hi...-American History",1
1078,"Academic-School, Classics, Classics-Classic Literature, Cultural-Asia, Cultural-China, Fiction, Historical, Historical-Historical Fiction, Literature, Novels",1
1097,"Food and Drink-Food, Health, Nonfiction, Politics, Sociology",1
1110,"Fiction, Mystery, Thriller",0
1111,"Biography, Biography Memoir, Business, Cities-Urban Planning, Geography-Cities, History, New York, Nonfiction, North American Hi...-American History, Politics",1
1171,"Business, Economics-Finance, Nonfiction",0
1202,"Audiobook, Business, Economics, Economics-Finance, Nonfiction, Politics, Psychology, Science, Social Science, Sociology",1
1232,"Fantasy, Fiction, Historical-Historical Fiction, Mystery, Writing-Books About Books",1
1241,"Adult, Adult Fiction, Biography Memoir, Book Club, Contemporary, Drama, Fiction, Health-Mental Health, Novels, Psychology",0
1274,"Language-Communication, Marriage, Nonfiction, Philosophy, Psychology, Relationships, Romance, Self Help, Self Help-Personal Development, Unfinished",0
1300,"Nonfiction, Sports-Baseball, Sports-Sports",0
1301,"Audiobook, Biography, Business, Economics, Economics-Finance, History, Nonfiction, Science, Sports-Baseball, Sports-Sports",1
1303,"Business, Business-Management, History, Leadership, Nonfiction, Philosophy, Politics, Psychology, Self Help, Self Help-Personal Development",0
1305,"Cultural-Greece, Fantasy, Fiction, Historical, Historical-Historical Fiction, History-Ancient History, Literature, Novels, War, War-Military Fiction",0
1307,"Fantasy, Fantasy-Epic Fantasy, Fantasy-High Fantasy, Fiction, Science Fiction Fantasy",0
1316,"Cultural-Greece, Fiction, Historical, Historical-Historical Fiction, History-Ancient History, Literature, Military-Military History, Novels, War, War-Military Fiction",0
1317,"Fiction, Historical-Historical Fiction, War, War-Military Fiction",0
1318,"Audiobook, Cultural-Greece, Fantasy, Fantasy-Mythology, Fiction, Historical, Historical-Historical Fiction, Literature-Ancient, War, War-Military Fiction",0
1319,"Art, Business, Language-Writing, Nonfiction, Self Help",0
1354,"Academic-School, Classics, Cultural-Greece, History, History-Ancient History, Literature, Literature-Ancient, Nonfiction, Philosophy, Politics",0
1362,"Classics, History, History-Ancient History, Nonfiction",0
1371,"Academic-School, Classics, Epic, Fantasy, Fantasy-Mythology, Fiction, Historical-Historical Fiction, Literature, Poetry, War",0
1375,"Classics, Fantasy-Mythology, Fiction, Poetry",0
1381,"Classics, Fantasy, Fantasy-Mythology, Fiction, Poetry",0
1414,"Classics, Drama, Fiction, Plays, Poetry",0
1420,"Academic-School, Classics, Drama, Fiction, Plays",1
1423,"Classics, Drama, Fiction, Humor, Plays, Plays-Theatre",0
1426,"Fiction, Philosophy, Spirituality",0
1427,"Fiction, Novels, Philosophy",0
1428,"Contemporary, Fiction, Inspirational, Literature, Love, Novels, Philosophy, Religion, Romance, Spirituality",0
1429,"Fiction, Historical-Historical Fiction, Novels",0
1430,"Adult, Contemporary, Cultural-Brazil, Drama, Fiction, Literature, Novels, Philosophy, Romance, Spirituality",0
1431,"Contemporary, Fiction, Novels, Philosophy",0
1467,"Classics, Drama, Fantasy-Mythology, Literature, Plays",0
1473,"Classics, Drama, Fantasy-Mythology, Fiction, Plays",0
1496,"Classics, Drama, Fantasy-Mythology, Fiction, Literature-Ancient, Plays, Plays-Theatre",0
1519,"Academic-School, Classics, Drama, Fantasy-Mythology, Fiction, Literature, Literature-Ancient, Plays, Plays-Theatre, Poetry",1
1524,"Classics, Drama, Fantasy-Mythology, Fiction, Plays, Plays-Theatre",0
1538,"Classics, Drama, Fiction, Plays",0
1540,"Classics, Drama, Fantasy-Mythology, Fiction, Plays",0
1554,"Academic-School, Classics, Drama, Fiction, Plays",0
1562,"Classics, Drama, Fantasy-Mythology, Fiction, Humor, Humor-Comedy, Literature, Literature-Ancient, Plays, Poetry",0
