book_id,author_id,author
11038,40609,Anaïs Nin
11041,40609,Anaïs Nin
11077,43456,J. Maarten Troost
11125,36619,Dan Brown
11140,36793,C.S. Lewis
11184,47005,Connie Mason
11206,47476,Julia Alvarez
11235,37432,Iris Murdoch
11238,37432,Iris Murdoch
11245,43690,Susan Howatch
11262,43690,Susan Howatch
11277,36839,Dan Simmons
11279,36839,Dan Simmons
11284,36839,Dan Simmons
11286,36839,Dan Simmons
11289,36839,Dan Simmons
11290,36839,Dan Simmons
11301,37386,Dr. Seuss
11306,37414,Susan Cooper
11312,37414,Susan Cooper
11313,37414,Susan Cooper
11324,37432,Iris Murdoch
11326,36899,Toni Morrison
11334,36899,Toni Morrison
11337,36899,Toni Morrison
11346,36899,Toni Morrison
11359,36899,Toni Morrison
11376,46816,Sinclair Lewis
11378,46816,Sinclair Lewis
11422,38093,Francine Rivers
11426,40822,Karen Kingsbury
11427,40822,Karen Kingsbury
11428,40822,Karen Kingsbury
11429,40822,Karen Kingsbury
11431,40822,Karen Kingsbury
11434,40822,Karen Kingsbury
11437,42189,Raymond Carver
11438,42189,Raymond Carver
11439,42189,Raymond Carver
11446,42189,Raymond Carver
11449,42189,Raymond Carver
11464,42647,Tobias Wolff
11466,42647,Tobias Wolff
11472,38490,Philip Gourevitch
11494,47059,Saul Bellow
11498,37407,Chaim Potok
11499,37407,Chaim Potok
11501,37407,Chaim Potok
11502,37407,Chaim Potok
11503,37407,Chaim Potok
11507,37407,Chaim Potok
11549,36565,Robert R. McCammon
11550,36565,Robert R. McCammon
11553,36565,Robert R. McCammon
11556,36565,Robert R. McCammon
11557,36565,Robert R. McCammon
11563,36556,Stephen King
11564,36556,Stephen King
11566,36556,Stephen King
11573,36556,Stephen King
11574,36556,Stephen King
11588,36556,Stephen King
11590,36556,Stephen King
11597,36556,Stephen King
11599,36556,Stephen King
11602,36556,Stephen King
11627,36609,Sylvia Plath
11650,39751,Philip Roth
11652,39751,Philip Roth
11653,39751,Philip Roth
11654,39751,Philip Roth
11655,39751,Philip Roth
11656,37324,John Updike
11657,37324,John Updike
11659,37324,John Updike
11662,37324,John Updike
