book_id,listegenre
1885,"Classics, Fiction, Romance"
1898,"Adventure, Adventure-Survival, Autobiography-Memoir, Biography, Biography Memoir, History, Nonfiction, Sports-Mountaineering, Sports-Sports, Travel"
1911,"Business, Economics, Education, History, Nonfiction, Politics, Science, Science-Technology, Sociology, Unfinished"
1934,"Classics, Fiction, Historical-Historical Fiction, Young Adult"
1946,"Classics, Fiction"
1953,"Classics, Fiction, Historical-Historical Fiction, Literature"
1976,"Adventure, Historical, Historical-Historical Fiction, Mystery, Young Adult"
1978,"Nonfiction, Philosophy, Politics, Writing-Essays"
1981,"Language-Writing, Nonfiction, Philosophy"
1990,"Classics, Fiction"
2002,"Childrens, Childrens-Middle Grade, Fantasy, Fantasy-Magic, Fiction, Novels, Paranormal-Wizards, Reference, Science Fiction Fantasy, Young Adult"
2011,"Fantasy, Fiction, Literature-American, Novels, Science Fiction, Science Fiction Fantasy, Science Fiction-Aliens, Space, Space-Space Opera, Speculative Fiction"
2013,"Anthologies-Collections, Classics, Fantasy, Fiction, Novels, Religion, Science Fiction, Science Fiction Fantasy, Space-Space Opera, Speculative Fiction"
2017,"Audiobook, Fantasy, Fiction, Historical-Historical Fiction, Science Fiction"
2028,"Classics, Drama, Fiction, Literature-Ancient, Plays, Plays-Theatre"
2049,"Classics, Fiction, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir"
2050,"Classics, Fiction, Literature-American, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir, Novels, Thriller, Thriller-Mystery Thriller"
2052,"Classics, Fiction, Literature-American, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir, Novels, Thriller, Thriller-Mystery Thriller"
2054,"Classics, Fiction, Literature-American, Mystery, Mystery-Crime, Mystery-Detective, Mystery-Noir, Novels, Thriller, Thriller-Mystery Thriller"
2067,"Nonfiction, Philosophy, Psychology, Religion, Religion-Atheism, Science"
2068,"Biology-Evolution, History, Nonfiction, Philosophy, Psychology, Religion, Religion-Atheism, Science, Science-Biology, Science-Popular Science"
2081,"Artificial Intelligence, Biology-Neuroscience, Neuroscience-Brain, Nonfiction, Philosophy, Psychology, Science, Science-Mathematics, Short Stories, Writing-Essays"
2094,"History, Nonfiction, Science, Science-Astronomy, Science-Physics"
2095,"Nonfiction, Science, Science-Astronomy, Science-Physics"
2096,"History, Nonfiction, Science, Science-Mathematics, Science-Physics"
2103,"Nonfiction, Science, Science-Astronomy, Science-Physics"
2104,"Media Tie In-Star Trek, Nonfiction, Science, Science-Physics"
2115,"Classics, Economics, Fiction, Literature, Literature-American, Novels, Philosophy, Politics, Sociology"
2122,"Classics, Fiction"
2136,"Fiction, Historical-Historical Fiction, Science Fiction, Short Stories"
2137,"Contemporary, Fiction, GLBT-Queer, LGBT"
2139,"Adult, Contemporary, Family, Fiction, LGBT, LGBT-Gay, Literary Fiction, Literature, Literature-American, Novels"
2141,"Art, Culture-Film, Nonfiction"
2142,"Christian, Christian Fiction, Fantasy, Fiction, Thriller"
2152,"Contemporary, Fiction, Romance, Womens Fiction-Chick Lit, Writing-Books About Books"
2155,"Biography, Classics, History, Nonfiction"
2156,"Classics, Fiction, Romance"
2159,"Autobiography-Memoir, Biography, Biography Memoir, Biography-Autobiography, Business, Economics, Economics-Finance, History, Nonfiction, Politics"
2165,"Classics, Fiction, Literature"
2175,"Classics, Cultural-France, Fiction, Literature"
2176,"European Literature-British Literature, Fiction, Literature, Novels"
2178,"Classics, Cultural-France, Literature-19th Century, Nonfiction, Northern Africa-Egypt, Travel"
2182,"Academic-School, Classics, Cultural-France, European Literature-French Literature, Fiction, Literary Fiction, Literature, Literature-19th Century, Novels, Short Stories"
2183,"Classics, Cultural-France, European Literature-French Literature, Fiction, Literature-19th Century"
2185,"Classics, Cultural-France, European Literature-French Literature, Humor, Literature, Literature-19th Century, Nonfiction, Philosophy, Reference, Writing-Essays"
2187,"Contemporary, Fiction, Historical-Historical Fiction"
2199,"Audiobook, Biography, Historical, History, Leadership, Military History-Civil War, Nonfiction, North American Hi...-American History, Politics, Politics-Presidents"
2203,"Biography, History, Nonfiction, North American Hi...-American History, Politics-Presidents"
2250,"Business, Leadership, Nonfiction, Self Help, Self Help-Personal Development"
2255,"Fiction, Spirituality"
2265,"Autobiography-Memoir, Biography, Biography-Autobiography, Nonfiction, Sports-Cycling, Sports-Sports"
2270,"Biography, Health, Nonfiction"
2273,"Biography, Geography-Cities, History, Nonfiction, Politics"
2279,"Biography, History, Nonfiction, North American Hi...-American History, Politics-Presidents"
2281,"Classics, Fiction, Literature, Literature-American, Short Stories"
2287,"Classics, Fiction, Gothic-Southern Gothic, LGBT, Literature, Literature-American"
2316,"Childrens, Childrens-Middle Grade, Fantasy, Fiction, Mystery, Young Adult"
2322,"Adult, European Literature-British Literature, Humanities-Language, Humanities-Linguistics, Humor, Humor-Comedy, Nonfiction, Philosophy, Reference, Reference-Dictionaries"
2333,"Classics, Fantasy, Fiction, Short Stories"
2336,"Audiobook, Contemporary, Cultural-Africa, Drama, Fiction, Historical, Historical-Historical Fiction, Novels, Race, Southern Africa-South Africa"
2339,"Cultural-Australia, Fiction, Historical-Historical Fiction"
2340,"Cultural-Africa, Fiction, Historical, Historical-Historical Fiction, Southern Africa-South Africa"
2341,"Cultural-Australia, Fiction, Historical, Historical-Historical Fiction"
2369,"Biography, History, New York, Nonfiction, North American Hi...-American History"
2372,"Historical, History, Nonfiction, North American Hi...-American History"
2373,"Fiction, Mystery, Mystery-Crime, Suspense, Thriller"
2391,"Adventure, Childrens, Classics, Fiction"
2402,"Adult Fiction, Contemporary, Cultural-Ireland, Fiction, Literature-American, Modern, Science Fiction, Science Fiction Fantasy, Short Stories, Travel"
2427,"Fiction, Mystery, Thriller-Legal Thriller"
2430,"Fiction, Mystery, Suspense, Thriller, Thriller-Legal Thriller"
2442,"Fantasy, Fiction, Humor"
2443,"Classics, Humor, Nonfiction, Travel"
2447,"History, Nonfiction, Philosophy, Politics, Politics-Political Science"
2493,"Classics, Fantasy, Fiction, Science Fiction, Science Fiction-Time Travel"
2517,"Fiction, Historical-Historical Fiction, Literature, Mystery, Novels"
2528,"Contemporary, Cultural-Portugal, European Literature-Portuguese Literature, Fiction, Literary Fiction, Literature, Magical Realism, Nobel Prize, Novels, Romance"
2530,"Classics, Cultural-Portugal, European Literature-Portuguese Literature, Fiction, Historical-Historical Fiction"
2531,"Cultural-Portugal, European Literature-Portuguese Literature, Fiction, Literature, Novels"
2535,"Cultural-Portugal, European Literature-Portuguese Literature, Fantasy, Fiction, Literature, Literature-20th Century, Magical Realism, Nobel Prize, Novels, Romance"
2536,"Cultural-Portugal, European Literature-Portuguese Literature, Fiction"
2544,"Classics, Fiction, Literature, Philosophy, Poetry, Short Stories"
2547,"Classics, Fiction, Philosophy, Poetry, Religion, Spirituality"
2549,"Classics, Fiction, Literature, Philosophy, Poetry"
2595,"Buisness, Business, Business-Management, Nonfiction"
2612,"Audiobook, Business, Economics, Leadership, Nonfiction, Philosophy, Psychology, Science, Self Help, Sociology"
2615,"Buisness, Business, Business-Entrepreneurship, Business-Management, Economics, Economics-Finance, Leadership, Nonfiction, Science-Technology, Self Help"
2618,"Business, Business-Entrepreneurship, Business-Management, Leadership, Nonfiction"
2623,"Classics, Fiction, Historical-Historical Fiction, Literature"
2657,"Academic-School, Classics, Fiction, Historical-Historical Fiction"
2666,"Classics, Contemporary, Fiction, Literature, Novels"
2671,"Art, Art-Art History, Criticism, History, Nonfiction, Writing-Essays"
2677,"Classics, Fiction, Humor, Writing-Essays"
2678,"Classics, Fantasy, Fiction, Literature"
2696,"Classics, Fiction, Literature, Poetry"
2711,"Classics, Fiction, Historical-Medieval, Literature, Poetry"
2715,"Food and Drink-Food, History, Nonfiction, Science"
