book_id,publisher_id,published_date,published_title,name_publisher
2953,19777,,,Library of America
2956,19683,,,Penguin Classics
2971,19665,,,Harper Perennial
2998,29662,,,Children's Classics
3008,19712,,,Penguin Books
3023,20327,,,Basic Books
3028,21196,,,Three Rivers Press
3040,21619,,,Encounter Books
3049,20924,,,Signet Classics
3059,28511,,,Alcoholics Anonymous World Services
3061,19881,,,Mariner Books
3066,20681,,,Farrar Straus Giroux
3067,19793,,,"Farrar, Straus and Giroux"
3068,30637,,,Farrar Straus and Giroux
3077,21098,,,Waking Lion Press
3087,20307,,,Digireads.com
3103,20433,,,W. W. Norton  Company
3107,19716,,,Delta
3109,21727,,,The Penguin Press
3110,19757,,,Simon  Schuster
3139,20433,,,W. W. Norton  Company
3140,19748,,,University of Chicago Press
3273,19709,,,St. Martin's Griffin
3275,19653,,,Tor Books
3281,19665,,,Harper Perennial
3291,19817,,,Scribner
3300,19778,,,Harper
3304,21005,,,Rayo
3311,20158,,,Faber  Faber
3326,21482,,,Hodder Wayland
3378,21192,,,Abacus
3379,20472,,,Bloomsbury USA
3381,20472,,,Bloomsbury USA
3384,21644,,,ReganBooks
3388,19695,,,Vintage
3394,19695,,,Vintage
3398,19695,,,Vintage
3399,19695,,,Vintage
3412,19862,,,Avon Books
3416,19717,,,Avon
3417,19717,,,Avon
3420,19780,,,Pocket Books
3421,19780,,,Pocket Books
3424,19717,,,Avon
3431,19865,,,Hyperion
3446,30008,,,Broadway/Crown Publishing Group
3447,19881,,,Mariner Books
3462,19719,,,Grand Central Publishing
3463,19719,,,Grand Central Publishing
3464,19719,,,Grand Central Publishing
3465,19719,,,Grand Central Publishing
3466,19720,,,Vision
3467,19791,,,Yearling
3478,21124,,,Warner Books
3483,20123,,,Penguin Books Ltd
3507,20120,,,St. Martin's Press
3526,20540,,,Anchor
3532,21742,,,Melville House Publishing
3559,20259,,,Anchor Books
3562,29810,,,Dell Laurel-Leaf
3579,28455,,,Starfire
3581,27155,,,Bantam Classics
3586,21502,,,Barnes  Noble Classics
3590,20765,,,Oxford University Press
3630,19860,,,Viking
3635,21489,,,Multnomah Books
3636,21955,,,Ember
3637,21194,,,Persea
3656,19695,,,Vintage
3659,20201,,,Vintage Books
3677,19836,,,Kessinger Publishing
3679,19712,,,Penguin Books
3682,21504,,,Simon and Schuster
3685,19678,,,Scholastic Paperbacks
3686,19665,,,Harper Perennial
3690,19712,,,Penguin Books
3692,19915,,,Vintage Classics
3698,29752,,,Penguin Classics Deluxe Editions
3710,19695,,,Vintage
3711,19695,,,Vintage
3717,20540,,,Anchor
3750,19712,,,Penguin Books
3757,19712,,,Penguin Books
3758,19781,,,Penguin
3759,19712,,,Penguin Books
3760,19712,,,Penguin Books
3762,19712,,,Penguin Books
3763,19712,,,Penguin Books
3764,19712,,,Penguin Books
3782,19791,,,Yearling
3783,21026,,,Hodder & Stoughton
3788,19791,,,Yearling
3789,22050,,,Collins
3797,23579,,,MacMillan UK
3805,29723,,,Fourth Estate Paperbacks
3830,19695,,,Vintage
3832,19817,,,Scribner
3833,19817,,,Scribner
3836,19712,,,Penguin Books
3858,19861,,,Broadway Books
3867,23630,,,Norton
3869,20793,,,Bantam Books
3872,20548,,,Bloomsbury
3873,29419,,,Gramercy Books
3876,20984,,,Pan Books
3895,24480,,,Clarkson Potter
3921,20323,,,Viking Adult
3943,21366,,,Orion Publishing Group
3972,19819,,,Harper Voyager
3973,19721,,,HarperTorch
3974,19803,,,"Little, Brown and Company"
3977,21216,,,Bantam Spectra
