book_id,book_avg_rating
5062,4.0
5064,4.3
5068,3.7
5084,4.2
5091,4.3
5092,4.5
5093,4.0
5094,4.2
5096,4.3
5107,3.8
5113,4.0
5114,4.1
5128,3.9
5129,4.0
5130,3.8
5131,4.2
5135,3.9
5136,3.7
5137,4.1
5139,3.7
5148,3.6
5157,3.9
5158,3.7
5159,3.7
5161,3.9
5162,4.2
5166,4.0
5167,4.1
5168,4.0
5171,3.7
5174,4.0
5179,3.7
5180,3.8
5181,3.7
5186,3.9
5187,3.9
5190,3.7
5191,3.5
5196,3.9
5197,4.0
5198,3.8
5203,3.9
5204,3.7
5205,3.8
5211,4.4
5240,4.1
5246,3.4
5289,4.5
5294,4.2
5296,4.0
5297,4.1
5304,4.2
5306,4.1
5308,3.5
5309,4.7
5326,4.1
5338,4.1
5342,4.0
5344,3.5
5345,3.8
5346,3.9
5347,3.5
5348,3.9
5349,3.9
5350,3.9
5351,3.8
5352,3.7
5354,3.7
5355,3.8
5356,3.7
5357,3.5
5358,4.0
5359,4.0
5360,3.7
5364,4.3
5367,4.3
5368,4.0
5369,3.8
5371,3.8
5400,4.3
5404,4.1
5413,4.3
5417,4.5
5439,4.1
5451,4.0
5452,3.8
5453,3.8
5454,3.8
5470,4.2
5472,4.3
5479,4.2
5486,4.0
5488,4.5
5499,3.9
5500,4.1
5503,3.6
5509,4.3
5512,3.7
5517,3.8
5520,3.7
5526,4.0
5527,4.1
5546,4.6
5548,4.3
5552,4.2
5553,4.2
5559,3.8
5571,4.1
5575,3.9
5659,4.0
5686,4.2
5693,4.4
5695,4.3
5697,4.5
5700,3.9
5720,4.1
5729,4.1
5752,4.1
5755,4.0
5787,4.4
5797,3.8
5805,4.3
5809,4.0
5826,3.9
5845,3.8
5848,3.6
5849,3.8
5853,3.2
5854,3.7
5872,4.0
5877,4.4
5890,4.0
5907,4.3
5931,4.5
5932,4.3
5936,4.4
5937,4.5
5941,3.8
5942,3.6
5946,3.9
5947,4.0
5949,4.3
5954,4.2
5975,3.7
5984,3.8
6058,4.3
6069,4.3
6138,3.9
6149,3.9
6150,3.9
6155,4.2
6156,4.1
6159,4.0
6163,4.4
6174,4.3
6176,4.4
6181,4.6
6185,3.9
6192,3.8
6194,3.9
6197,3.7
6201,3.6
6217,4.3
6240,3.9
6259,4.1
6273,4.3
6288,4.0
6291,4.2
6294,4.3
6295,4.1
6297,4.5
6310,4.1
6319,4.2
6327,4.2
6328,4.2
6330,4.4
6332,4.0
6334,3.8
6372,4.1
6393,4.0
6403,4.0
6418,3.6
6419,3.7
6420,3.7
6422,4.2
6423,4.2
6424,4.2
6425,4.2
6426,3.7
6427,4.1
6440,3.8
6462,3.9
6511,4.0
6514,4.0
6520,3.9
6531,4.0
6534,4.0
6537,4.0
6538,3.4
6539,4.0
6541,3.9
6545,3.9
6546,3.9
6547,4.2
6549,4.2
6551,3.8
6553,4.0
6561,3.9
6563,3.9
6564,3.8
6571,3.7
6572,3.9
6573,3.7
6574,3.5
6584,4.0
6588,4.0
6596,4.2
6618,4.3
6624,4.2
6628,3.9
6656,4.1
6657,4.3
6667,4.1
6668,3.8
6670,3.7
6671,4.1
6678,4.1
6687,3.7
6689,4.0
6690,4.1
6691,3.9
6693,4.1
6694,3.8
6697,3.6
6708,4.1
6709,4.3
6716,4.1
6748,4.2
6749,4.1
6750,3.8
6751,4.2
6753,3.9
6759,4.3
6779,4.2
6819,4.1
6820,3.9
6835,3.8
6837,4.2
6851,4.0
6853,4.0
6854,4.1
6856,3.7
6858,4.2
6862,3.4
6867,3.9
6868,3.7
6869,3.6
6870,3.6
6871,3.4
6872,3.4
6882,4.2
6900,4.1
6932,3.7
6933,4.1
6952,3.9
6969,4.0
6976,3.1
6981,4.1
6996,4.3
7021,4.0
7022,4.1
7023,4.1
7024,4.0
7025,4.2
7026,4.1
7027,4.1
7028,4.1
7029,4.0
7035,4.0
7042,3.7
7048,4.0
7053,4.1
7061,3.8
7062,3.8
7069,4.1
7073,3.6
7081,4.0
7096,4.3
7101,3.8
7103,4.0
7104,4.0
7105,3.6
7113,3.6
7126,4.3
7144,4.2
7182,3.8
7184,4.0
7186,4.0
7190,4.1
7194,3.8
7199,4.1
7201,4.1
7214,3.9
7231,4.2
7244,4.1
7252,3.8
7292,4.4
7329,3.9
7332,3.9
7337,4.0
7339,3.9
7344,4.0
7346,3.9
7347,3.8
7351,4.5
7354,3.9
7366,4.1
7375,4.4
7389,4.0
7432,4.1
7437,3.5
7442,3.9
7445,4.3
7455,3.4
7479,3.6
7482,3.6
7493,3.9
7494,4.2
7510,3.8
7512,4.2
7530,4.0
7531,3.9
7572,3.8
7579,4.2
7580,4.1
7583,4.3
7588,3.6
7603,3.6
7604,3.9
7613,3.9
7619,4.3
7624,3.7
7628,3.7
7629,4.1
7661,3.5
7663,3.7
7667,3.7
7668,3.6
7669,3.8
7670,3.9
7672,3.6
7673,3.7
7675,3.8
7679,3.4
7682,3.9
7685,4.2
7695,4.2
7714,3.9
7723,4.0
7728,3.7
7733,3.6
7742,4.0
7745,4.1
7748,4.1
