book_id,author_id
6569211,9557
8999892,11361
263919,10873
9766063,11951
971239,13487
12093000,10911
960495,9137
8602864,12085
13497142,9322
13504041,18633
15706108,13655
13248799,18448
9893331,19978
12308723,8970
15719561,17201
786699,17495
549237,19557
17339738,9305
18008226,17480
17354744,14599
18158535,19163
17190226,10616
18171014,10960
1212610,15048
18136883,10612
29661618,10337
166562,19315
10014677,10659
15739817,8284
21878763,9625
22918893,18655
741481,11141
22436841,11432
20335752,10739
25022297,13363
25319777,11820
3831344,10247
25697968,11565
17493,15508
36390016,17215
1880496,8135
48678296,11734
2218102,14010
53398496,10376
116567,8596
44516,8588
3359011,18145
379160,8452
2432061,14861
284338,9000
24816,9967
620790,8135
7052308,18145
7532858,20087
128518,9222
77844,18592
199531,8897
21485,8936
10169662,9761
6972157,9348
13282838,11847
16099180,8438
209889,12220
5927595,9497
590323,15399
12878300,11612
13421433,11460
16164966,11110
23016364,9692
28958920,8199
13152194,9639
19078625,9008
18713134,12931
13162223,13508
12617286,12505
693447,8922
21899705,14131
56636,11497
18684615,13369
21816542,18855
24568450,16542
11324334,9760
747061,9381
13260545,16771
20564453,14469
24677549,10135
23016659,8090
1335601,11875
27853361,11435
18456078,15831
31815310,13784
12970162,9304
28008677,9139
35425827,8118
62794,11956
14285,14187
50781,15744
165856,10789
9924320,20129
3073174,9553
192955,8950
1118874,13682
5820384,8025
11903141,11346
8161632,9772
10863979,10390
1205297,9523
14404,13916
18999,8964
3426706,10155
9475932,10569
11714997,8993
866136,9733
15734418,12740
8922087,8463
13605091,8970
9242236,13461
2498049,10245
13517470,8500
7812107,9906
12180248,8263
4303567,10130
17281601,9485
12262889,14599
5985016,18290
210196,9948
18713128,12931
7203997,9555
20518655,9124
11556,8734
984021,19209
10552338,8089
21915986,11438
17335881,12655
20943623,10586
13606970,10625
23280000,10210
20492283,10212
17913288,10212
25668685,11820
23517137,11704
119729,18198
27263454,11565
24849026,9448
23209927,8776
30839185,11565
6839020,19720
30841984,17346
55792,8323
48855342,8711
181972,8096
6006822,11543
108051,10164
593105,10948
9263,14097
170529,12787
605663,11751
615359,18820
10711,8915
406422,19472
11106249,10361
80738,14973
131304,11414
838130,18250
15743703,8940
3173125,17696
43885,9028
2877205,10224
66677,9405
12384984,16110
9219901,12113
15766776,16641
18667307,11166
297898,9492
21894650,10408
22324795,8723
18811324,12106
42988,8936
22739190,17835
783291,8777
25053346,17731
22841551,18801
28091259,19332
17657206,11435
23266378,11077
18586621,18419
31367949,11344
15790894,10839
32797060,14400
24611819,8111
34213608,10569
29923707,8223
31144992,8199
33893388,8200
23688121,8200
35297469,9787
43191510,10081
3359010,18145
43848929,8436
446279,8330
807044,15549
209690,8342
5409442,11353
347339,15829
15100,8653
588723,13844
16743,19486
459901,12155
271487,12252
205821,8874
867356,8759
11717230,13086
1569097,10406
2942523,13097
8485458,8847
975885,8361
6851,12140
16114675,17305
23569954,9332
13044650,9332
11672438,9332
96908,8503
21278,8379
3664164,8499
3629971,8836
15782604,8970
16075834,13799
15980313,11460
12444166,8396
38463,12246
17283481,17835
186668,9403
17458478,8711
3675828,8434
353761,15204
1433867,19233
293951,13844
7074259,8273
1357195,8847
20321703,13502
18714697,13502
6722482,10256
20567999,10357
7148778,9492
22751611,8851
21801701,18281
18295852,8218
20483084,18485
17700404,11820
13415323,19501
13410943,13065
29776603,18034
13505635,19981
6178470,10062
27272505,8107
440638,19755
548370,12839
23466036,18419
11547633,19679
3170458,9023
34091026,17780
724666,9024
432020,11025
21130121,8212
11205802,11120
11284,8369
109326,10994
28660,17239
77789,12751
882053,9141
3250465,12703
541920,12226
763489,15539
112080,8807
34303,9421
2350129,9381
66692,9405
338131,8344
381364,17175
6397351,8761
2781819,11324
362888,19590
6941324,9557
7871086,8150
7696504,8898
765811,8668
2972472,8387
781132,9767
12864154,10361
5659537,8324
384579,13084
6419,8129
3993839,10636
8951449,8298
6318413,12718
89884,14203
7022,19825
13524900,9554
13097681,13039
311196,10059
527495,17152
27817191,19988
73906,10339
11549777,8465
5557442,10228
15724908,11726
5082616,14068
18487180,8053
18104749,8774
18129599,13505
21468450,16561
12578294,8204
18310201,11470
16122643,9415
30843,10701
18858489,19787
22847427,10151
18105451,8298
7097866,9492
18188319,12859
13608133,11484
43691,9989
6276276,14999
44323,8634
15843041,14548
24002318,8294
21853636,8295
10187223,14982
20649195,11086
22046891,8356
6344832,8404
23299513,9009
23533039,9747
24382227,11073
18674889,9042
26245853,10447
77040,11550
13630171,9412
46038451,11925
34684622,10479
43191440,10081
19523454,8426
32618967,10701
25810500,13652
153418,12780
303073,8930
26482,10808
57901,9390
634407,13902
102142,8397
1720099,11596
2781816,11324
76758,10623
6313326,10738
394228,9518
6289558,20087
9893331,8408
348537,18147
73932,10339
324748,14548
605015,9957
10810038,12821
647579,15119
300044,13456
1207980,13211
10720733,9523
104069,12272
6853895,20129
10801027,8497
6495228,15960
161788,8916
7031834,8131
6060130,8891
622855,8964
7224154,9670
1835150,10803
70884,13419
16210820,8993
5148758,9575
111388,17656
12722,8757
6987527,13714
46969,9390
13222508,14303
11717826,13097
6559316,8392
15757099,16867
8441754,13607
17206996,19102
10331050,9326
676,12620
36613718,9274
16090271,10256
18124599,15283
17140887,15283
18362208,17179
17453516,10357
6348484,10243
13059477,10537
17349023,8446
25419982,14599
12987986,13843
33230173,9982
13608643,18281
16401102,8005
23783832,17288
23650217,13381
25506341,17288
22044543,11820
22698031,8262
23434061,13717
26309016,8255
17783163,15283
24849422,13810
21981841,9479
31202835,15938
15704486,8009
17703205,17864
25036395,9281
34324484,17983
40227501,16446
36584899,16551
25903764,14840
65399,14068
2932708,10256
295685,14301
68530,8878
6076107,9382
169651,9232
4418237,11334
418209,8914
384962,9444
59817,8362
7778609,11486
121792,9967
8100267,8761
768950,11473
133775,8108
179734,9759
7789774,9167
449,14257
54076,8808
3241366,10551
618520,18250
291583,15001
244357,19540
195155,11419
2623267,13457
146107,14862
16157776,11035
16280717,11460
6164596,11610
17181677,11035
17133068,9336
11044367,13916
6577337,10256
833312,10038
275600,10989
15773979,9921
36434,12143
42435,13204
18388177,14100
133238,18964
6203048,11392
12578370,8204
9373152,14754
11970747,8391
41538,13494
76688,9024
23353850,8851
23345583,14141
289029,13633
23494599,17853
8542839,9583
18077752,9741
18077769,9741
17278396,8227
20890479,9634
8493681,10398
28483931,11344
30343,13235
45694,8918
859887,12920
18102827,10751
23203744,8645
69005,8072
3453791,8612
17679368,9282
26529699,8589
29991719,8740
1542100,18313
11979900,9535
23492533,8712
647492,10866
30256105,9467
89231,18957
42141,17634
30223025,10181
2590136,8752
1286453,12251
29589074,8220
11852497,10728
9959373,10728
38216157,8131
88071,9270
12540,10008
669305,10493
9298,10315
248533,10323
15450,9404
458450,8086
28920,8123
6855506,20101
33820,10439
65053,12787
3485562,8009
6366110,8009
826564,18122
25505799,9684
47905,10571
461627,10834
9872091,9682
146128,14862
61901,9257
821964,8656
300045,13456
18068693,9771
11512688,9683
143511,8759
12143472,13802
13562547,10159
4732517,8463
196417,17656
507069,10934
15307498,11460
8563829,8158
13324895,17832
15762657,9700
1369831,13046
2414750,8488
20653878,16376
577184,11775
22555753,13365
13062488,8969
140099,9492
28666513,8468
22089601,11675
36279579,8005
337537,15508
16160701,9720
16217670,9654
27259009,19154
22717015,8337
18760264,11820
248322,14964
18509683,13904
1617191,11012
3933510,12555
18392459,11108
36373647,8422
23002501,9574
27139794,10571
139724,13652
27912522,11925
30095464,9795
33573674,8200
31139037,13907
38456737,12464
34513573,12464
39893545,8220
34390820,9515
22571629,10745
905092,14508
25852870,8438
3060904,14133
122126,9827
337132,9730
77431,8883
523151,19987
7531,13028
142442,9832
18392,8578
85855,15744
3474905,15744
13996,9352
307079,12858
613268,11312
54804,8907
5586327,12097
5943093,10242
74045,9181
1002539,17374
9858504,8124
17192373,9499
2114086,8775
207802,11529
122986,9545
263731,10322
760924,9173
8409257,9190
9327053,19751
246035,10079
13060609,8345
9077707,8404
6014989,10264
10088219,12776
2451604,10116
698034,8087
16076787,11543
1249931,10168
9279734,8168
10706934,11539
16170522,13883
13839194,11043
1804074,18195
15808474,9393
16305,9508
351,8079
