book_id,character_id
50069829,146301
74928,146302
1153501,142465
76234,142191
6371905,146339
71787,146425
99461,146426
6197,146461
6405929,142290
7671562,146474
8101452,146482
43924,143382
60364,146529
17332968,146530
25909975,146545
687215,146583
6389874,146596
13486553,146619
9484900,146633
300932,146687
143999,146729
87265,146730
884536,146736
328181,146737
12014,146738
642914,146749
228990,146583
175246,146750
1020674,146788
15791085,146951
5633958,145373
17797635,147032
12890,147036
701937,147098
6470037,147300
87426,142314
182230,147412
113250,147476
4289768,147491
10194224,147502
97920,147524
17345314,147527
224754,147530
31357,144450
15984353,147558
773858,147559
421122,147630
263146,147634
7809,147694
1307109,147699
1158380,147746
5945209,147780
9658159,147788
40651862,147801
154091,147815
5328535,147831
210482,147832
18668485,147867
1795353,147873
37688046,147885
776137,147886
39303,147894
333316,144155
296901,147925
10883,147997
728903,148057
870808,148058
34596,148073
88321,148083
1256210,148135
282675,148140
71678,142269
116054,148151
210190,148154
16536,148162
164434,148268
45343,148271
23524782,148304
2964700,148305
89526,148306
437406,144644
18419,148321
272264,148333
75534,148336
7799991,148337
809653,148413
13099652,148423
317497,148615
16291480,148618
84730,143646
1016875,148665
267419,148675
409589,143934
28766,148688
48180,148706
400763,143515
254103,148802
12016,148859
7230583,148866
27002,148977
11506107,149004
994232,149055
396082,149071
136171,149080
8882815,149118
10779721,149137
477597,144262
126512,149293
968902,149315
254108,149316
497195,147939
8514163,149430
264827,149474
400598,149475
14084,149476
68768,143665
22836957,149498
552669,149520
1317696,149533
141452,149573
183845,149581
60349,149611
2211221,145968
10394348,149669
13278166,149696
392786,149712
17978481,149715
12334,149751
3145113,142229
7968243,142289
2544797,149763
3015764,149775
18163646,149781
16059,149795
31171,149796
57778,149520
6963764,149799
23929479,149813
1156439,149819
76812,143973
82549,142229
214579,149846
15739863,143751
244526,144700
244524,144700
301274,142314
117645,143614
49488,149973
8429687,150092
1474628,150098
72228,144632
563820,150146
1381691,150201
55022,150204
509858,150252
65714,150253
15451058,150262
25622782,150289
859807,150299
2426848,150376
851994,148350
14280,150392
1967070,150477
9975779,142365
817768,146092
7096123,142365
41694,148073
276477,150497
142181,150574
543495,150584
41822,150621
9592213,150642
15760,150643
16138688,150693
1648212,150721
6509143,150725
7089888,150747
98685,150790
93750,150794
184350,143833
5894600,150809
172134,143665
325421,150812
12866441,150842
1372415,143665
1232353,143665
2677410,143665
16141786,150843
1700436,143665
1408029,143665
21874813,142817
2299358,150915
69802,143665
77490,143665
799073,150927
205262,143665
7116365,142923
511993,143665
29743,151002
296570,151012
904488,143665
7455,151040
14781507,151053
3393648,151079
52823,151102
51071,149712
12878132,144132
4059448,145082
538379,147894
375711,151127
1590979,151130
10503,151139
862012,143614
1358541,151164
123031,151165
21491,145409
35308,142923
827685,151185
13990,151216
7807446,151240
15154,145306
93996,148665
238959,151282
8862,150289
752721,151303
6271195,151318
1131133,151363
317375,151396
6697292,151401
7179547,151410
679465,151441
673799,151449
164760,151456
863687,151464
2579047,151465
8735254,151495
8713130,151506
3005671,151515
938105,151518
6949517,151528
152427,151543
2172703,151544
12328286,151545
11234478,151546
11461997,144463
856723,151596
6788767,146871
10291971,151630
15712314,151672
11942639,151685
13436345,151714
14305037,151771
2967881,151772
10962216,151775
17564064,151776
15811102,151804
17929785,151815
2588447,151822
18683839,143752
11797636,151837
15803170,151853
4944389,151866
31086,147538
3421589,151877
9732204,151885
12849260,151886
715277,151887
