book_id,publisher_id
7812107,9425
555987,9253
2725,9649
355034,9191
12180248,9650
928815,9651
4303567,9319
17281601,9652
12262889,9653
78159,9654
16290291,9462
15768119,9655
5985016,9656
18365529,9630
14058995,9657
533327,9658
18474117,9659
8122734,9660
593109,9191
203409,9661
7203997,9662
6781184,9663
10182392,9664
20518655,9665
20773953,9350
984021,9666
10552338,9190
21915986,9462
10385505,9667
17335881,9668
24767508,9669
23209822,9463
11156963,9332
13606970,9670
12634575,9491
23280000,9671
16065550,9672
17913288,9673
21955078,9674
401454,9675
25668685,9502
23517137,9676
257669,9172
5505135,9656
17350491,9666
17556418,9677
119729,9678
24849026,9292
23209927,9679
20958250,9680
6839020,9367
35783057,9681
6354310,9682
30841984,9595
6732019,9683
41176626,9462
43616139,9684
13452923,9685
34763906,9529
25434361,9686
31823677,9687
55792,9367
44107480,9688
39297840,9689
48855342,9690
128529,9332
181972,9691
96505,9407
6006822,9692
6019841,9389
471174,9693
108051,9229
298537,9283
593105,9159
9263,9694
815234,9273
170529,9374
533779,9265
605663,9413
3105537,9678
1380834,9528
254660,9695
615359,9308
331695,9696
6658659,9660
5290503,9697
9069150,9698
10711,9265
5184603,9699
406422,9159
62558,9700
11106249,9701
1739150,9702
80738,9369
13414323,9703
13564820,9630
131304,9173
13643831,9704
838130,9586
9412215,9705
13741511,9706
10710392,9208
15772095,9707
186445,9708
7779571,9709
16093278,9710
2642142,9711
16003058,9712
15743703,9295
53948,9713
3173125,9277
13618136,9714
54995,9203
43885,9161
130730,9715
13554131,9716
544354,9717
2877205,9504
18088594,9462
25581147,9718
536622,9719
66677,9720
12384984,9308
9219901,9470
19307225,9721
15766776,9263
20460436,9462
20903622,9462
17669067,9595
18667307,9722
297898,9268
22524731,9723
21894650,9724
18811324,9420
42988,9323
23742469,9725
12864154,9726
2411470,9727
18244599,9728
119832,9425
25027140,9588
6684540,9257
112518,9595
783291,9311
25365530,9600
13623874,9283
25481803,9729
25053346,9637
25668970,9730
17801134,9731
22841551,9732
28800321,9733
28091259,9734
23266378,9735
32284715,9736
13115538,9309
18586621,9462
15790894,9595
33644223,9737
29952526,9681
24611819,9182
26597596,9738
34213608,9297
29923707,9180
31144992,9573
29202269,9739
18077875,9683
35003240,9740
33893388,9741
23688121,9741
38339351,9742
35297469,9425
